date,commodity,index,wpi_weight,source
2013-04,bajra,136.4,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2013-05,bajra,137.6,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2013-06,bajra,136.9,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2013-07,bajra,135.3,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2013-08,bajra,131.0,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2013-09,bajra,130.9,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2013-10,bajra,129.7,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2013-11,bajra,129.5,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2013-12,bajra,131.1,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2014-01,bajra,132.3,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2014-02,bajra,131.5,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2014-03,bajra,133.6,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2014-04,bajra,134.4,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2014-05,bajra,134.6,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2014-06,bajra,132.5,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2014-07,bajra,134.4,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2014-08,bajra,133.2,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2014-09,bajra,133.9,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2014-10,bajra,129.3,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2014-11,bajra,125.6,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2014-12,bajra,123.9,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2015-01,bajra,125.0,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2015-02,bajra,123.2,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2015-03,bajra,124.8,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2015-04,bajra,127.3,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2015-05,bajra,126.7,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2015-06,bajra,125.2,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2015-07,bajra,124.3,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2015-08,bajra,127.4,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2015-09,bajra,132.2,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2015-10,bajra,132.7,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2015-11,bajra,135.3,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2015-12,bajra,139.2,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2016-01,bajra,142.9,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2016-02,bajra,144.2,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2016-03,bajra,147.7,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2016-04,bajra,155.8,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2016-05,bajra,162.6,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2016-06,bajra,158.7,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2016-07,bajra,159.6,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2016-08,bajra,159.3,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2016-09,bajra,155.1,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2016-10,bajra,148.1,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2016-11,bajra,151.0,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2016-12,bajra,154.7,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2017-01,bajra,151.9,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2017-02,bajra,151.3,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2017-03,bajra,152.6,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2017-04,bajra,153.8,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2017-05,bajra,153.2,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2017-06,bajra,149.7,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2017-07,bajra,145.4,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2017-08,bajra,143.8,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
2017-09,bajra,139.4,0.08637,"OEA eaindustry.nic.in monthly_index_202606.xls, WPI base 2011-12=100"
