sno,district_division_mandal_godown_category,apscscl_reserved_mt,total_capacity_mt,latlong
110,"Prakasam Kandukur Kandukur SWC, Kandukur SWC, Own",-,2000,"15.228172, 79.922139"
111,"Prakasam Ongole Chirala SWC, Chirala Own & (PEG) SWC, Own",-,11600,"15.781345, 80.327870"
112,"Prakasam Ongole Maddipadu Sundaram Tobacos, Doddavarapadu Others",5000,5000,"15.5875289443, 80.036147026"
113,"Prakasam Ongole Maddipadu SWC, DRK, Gundlapalli SWC, HG",-,11330,"15.656218, 80.015250"
114,"Prakasam Ongole Ongole AMC, Ongole Others",5000,5000,"15.529578385, 80.0492910713"
115,"Prakasam Ongole Ongole CWC, Throvagunta CWC",8000,10000,"15.5290185851, 80.0506660278"
116,"Prakasam Ongole Parchur SWC, Parchur SWC, Own",-,5000,"15.8351804458, 80.1941795352"
117,Prakasam Ongole Vetapalem DRK Challareddypalem Others,30000,30000,"15.792546, 80.318244"
118,"Srikakulam Palakonda Bhamini SWC BHAMINI SWC, Own",10000,10000,"18.908686, 83.813666"
119,"Srikakulam Palakonda Kothuru SWC NIVAGAM SWC, HG",4000,4000,"18.7772903944, 83.8768783858"
120,"Srikakulam Palakonda Palakonda SWC,PALAKONDA SWC, HG",2300,2300,"18.605629, 83.748213"
